LIMIT_BAL,AGE,code_repayment_sept,code_repayment_aug,code_repayment_july,code_repayment_june,code_repayment_may,code_repayment_april,Dues,Previous_payments,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
300000.0,31,0,0,0,0,0,0,510757.0,22400.0,1,0,0,0,1,0,0,1,0
20000.0,24,0,0,0,0,0,0,113224.0,17597.0,1,0,0,1,0,0,0,1,0
90000.0,35,-1,-1,-1,-2,-2,-2,5334.0,2667.0,0,1,0,1,0,0,0,1,0
300000.0,40,1,-2,-2,-2,-2,-2,0.0,0.0,0,1,0,1,0,0,1,0,0
70000.0,36,0,0,0,0,0,0,282658.0,10850.0,0,1,0,1,0,0,0,1,0
260000.0,31,0,0,0,0,0,0,257156.0,82000.0,1,0,0,1,0,0,0,1,0
180000.0,52,0,0,0,0,0,0,440832.0,17824.0,1,0,0,0,1,0,0,1,0
500000.0,37,-1,-1,-1,-1,-1,-1,9954.0,8293.0,1,0,1,0,0,0,1,0,0
240000.0,26,-2,-2,-2,-2,-2,-2,6658.0,6846.0,0,1,1,0,0,0,0,1,0
150000.0,30,0,0,2,2,2,2,419555.0,19723.0,0,1,0,1,0,0,0,1,0
230000.0,37,0,0,0,0,0,0,484329.0,27000.0,0,1,1,0,0,0,1,0,0
200000.0,46,1,-1,-1,-1,-1,-1,5688.0,7091.0,1,0,0,1,0,0,1,0,0
170000.0,37,-2,-2,-1,-1,-1,-1,24226.0,25460.0,0,1,0,0,0,1,1,0,0
50000.0,44,0,0,0,0,-2,-2,42696.0,2470.0,0,1,0,1,0,0,1,0,0
50000.0,25,0,0,0,0,0,0,198246.0,20019.0,0,1,0,1,0,0,0,1,0
280000.0,49,-1,-1,-1,-1,0,-1,26457.0,16471.0,1,0,1,0,0,0,1,0,0
20000.0,35,-1,3,2,0,0,0,46332.0,11000.0,1,0,0,0,1,0,0,1,0
160000.0,28,-1,-1,-1,-1,-1,-1,141482.0,132675.0,0,1,1,0,0,0,0,1,0
50000.0,32,-1,0,0,0,0,-2,99206.0,5000.0,1,0,1,0,0,0,0,1,0
110000.0,30,1,2,2,2,2,2,554308.0,19100.0,1,0,1,0,0,0,0,1,0
60000.0,58,2,2,0,0,2,0,141695.0,4546.0,1,0,0,0,1,0,1,0,0
30000.0,34,1,2,2,2,2,2,165701.0,10966.0,0,1,0,1,0,0,0,1,0
300000.0,38,1,-2,-2,-1,0,-1,2280.0,2320.0,0,1,0,1,0,0,1,0,0
160000.0,27,0,0,0,0,0,0,980877.0,39600.0,0,1,0,1,0,0,0,1,0
450000.0,38,0,-1,-1,-1,-1,-2,4340.0,2926.0,0,1,1,0,0,0,0,1,0
160000.0,52,0,0,0,0,0,0,540805.0,13700.0,0,1,0,0,0,1,0,1,0
50000.0,51,0,0,0,0,0,0,191206.0,11142.0,0,1,0,0,1,0,1,0,0
200000.0,42,-1,-1,-1,-1,-1,-1,21913.0,25946.0,0,1,0,0,1,0,1,0,0
30000.0,49,0,0,0,0,0,0,93651.0,7000.0,1,0,0,1,0,0,1,0,0
140000.0,26,0,0,0,0,-1,-1,53874.0,7080.0,0,1,0,1,0,0,0,1,0
50000.0,23,0,0,0,0,0,2,114472.0,6005.0,0,1,1,0,0,0,0,1,0
110000.0,32,-1,-1,-1,-1,-1,0,40578.0,35117.0,0,1,0,0,1,0,0,1,0
510000.0,48,-1,-1,-1,-1,-1,-1,56674.0,50320.0,0,1,1,0,0,0,1,0,0
170000.0,32,-1,2,0,0,0,0,439951.0,22729.0,1,0,1,0,0,0,0,1,0
260000.0,31,0,0,0,0,-2,-2,29037.0,8155.0,1,0,0,1,0,0,1,0,0
100000.0,34,-1,2,-1,-1,0,0,1508.0,1479.0,0,1,0,1,0,0,1,0,0
50000.0,46,0,0,0,0,0,0,172689.0,6950.0,0,1,0,0,1,0,0,0,1
50000.0,23,0,0,0,0,-1,-1,201604.0,26014.0,0,1,1,0,0,0,0,1,0
180000.0,31,1,-2,-2,-1,-1,-2,2537.0,2537.0,0,1,1,0,0,0,1,0,0
210000.0,50,-1,-1,-2,-1,-1,-1,4312.0,4066.0,0,1,1,0,0,0,0,1,0
20000.0,25,0,0,0,0,0,0,81852.0,2806.0,1,0,0,1,0,0,0,1,0
180000.0,40,0,0,0,0,0,0,505932.0,30200.0,1,0,0,0,0,1,1,0,0
450000.0,29,0,0,0,0,0,0,426039.0,35392.0,0,1,1,0,0,0,1,0,0
50000.0,47,1,-2,-1,-1,-2,-2,1708.0,1708.0,1,0,1,0,0,0,1,0,0
360000.0,27,0,0,-1,-1,-1,-2,14696.0,2324.0,0,1,0,1,0,0,0,1,0
80000.0,25,0,0,0,0,0,0,344398.0,20404.0,1,0,1,0,0,0,0,1,0
240000.0,29,-2,-2,-2,-2,-2,-2,358011.0,343058.0,0,1,1,0,0,0,0,1,0
20000.0,47,0,0,2,0,0,0,102740.0,7764.0,1,0,0,1,0,0,0,1,0
260000.0,27,0,0,0,0,0,-1,151497.0,36938.0,0,1,0,1,0,0,0,1,0
20000.0,36,0,0,0,0,-2,-2,44230.0,3480.0,1,0,0,1,0,0,0,1,0
80000.0,42,0,0,0,0,0,2,140867.0,13300.0,0,1,0,1,0,0,1,0,0
350000.0,40,-2,-2,-2,-2,-2,-2,23654.0,20596.0,0,1,1,0,0,0,1,0,0
450000.0,38,-1,0,-1,-1,-1,-1,137274.0,91535.0,1,0,1,0,0,0,0,1,0
240000.0,29,-1,-1,-1,-1,-1,-1,3136.0,5706.0,0,1,1,0,0,0,0,1,0
90000.0,45,2,2,2,2,2,2,287368.0,11855.0,0,1,0,1,0,0,1,0,0
30000.0,37,0,-1,-1,0,0,0,119017.0,34437.0,0,1,0,0,1,0,1,0,0
170000.0,41,0,0,0,0,0,0,544617.0,34980.0,1,0,1,0,0,0,1,0,0
20000.0,22,2,0,0,2,3,2,69284.0,12700.0,0,1,0,1,0,0,0,1,0
170000.0,37,-1,-1,0,0,0,0,498028.0,131133.0,0,1,0,1,0,0,0,1,0
390000.0,28,0,0,0,0,-1,0,962227.0,285727.0,1,0,0,1,0,0,0,1,0
440000.0,40,-1,-1,-1,-1,-1,-1,8873.0,13059.0,0,1,0,1,0,0,1,0,0
150000.0,44,0,0,0,0,0,0,251755.0,13764.0,0,1,0,1,0,0,0,1,0
170000.0,30,0,0,0,-1,-1,-1,14160.0,1590.0,1,0,0,1,0,0,0,1,0
80000.0,52,-2,-2,-2,-2,-2,-2,1534.0,1330.0,0,1,0,0,1,0,1,0,0
170000.0,51,0,-1,-1,-1,0,0,46439.0,26211.0,0,1,0,1,0,0,1,0,0
